TRANS NO,SEQ,METER NO,READING DATE,EMPLOYEE ID,READING,USAGE AMOUNT,BILLED DATE,UOM,METER DESCRIPTION,METER TYPE,UTILITY TYPE,LONG DESCRIPTION,REGION CODE,FACILITY ID,BUILDING,USAGE FACTOR,START DATE,BUILDING NAME,BUILDING CLASS,PROPERTY TYPE,METER MULTIPLIER,YEAR-MONTH,SERIAL #,ROUTE NO
8944,6,CWTOTPROD,1/31/2023 0:00,600317,NULL,0,NULL,THR,CHILLED WATER TOTAL PRODUCTION,MASTER,CW_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,NULL,2023-1,NULL,TOTAL PRODUCTIO
9017,6,CWTOTPROD,4/30/2023 0:00,600317,NULL,0,NULL,THR,CHILLED WATER TOTAL PRODUCTION,MASTER,CW_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,NULL,2023-4,NULL,TOTAL PRODUCTIO
8944,1,ELPNCSUBTOTAL,1/31/2023 0:00,600317,NULL,0,NULL,KWH,TOTAL KWH FROM OGE NC SUBSTATION INVOICE,MASTER,EL_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,2/28/2011 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-1,685759-3,TOTAL PRODUCTIO
9017,1,ELPNCSUBTOTAL,4/30/2023 0:00,600317,NULL,0,NULL,KWH,TOTAL KWH FROM OGE NC SUBSTATION INVOICE,MASTER,EL_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,2/28/2011 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-4,685759-3,TOTAL PRODUCTIO
8944,4,ELTOTPROD,1/31/2023 0:00,600317,NULL,0,NULL,KWH,TOTAL ELECTRICAL PRODUCTION AND PURCHASED,MASTER,EL_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-1,NULL,TOTAL PRODUCTIO
9017,4,ELTOTPROD,4/30/2023 0:00,600317,NULL,0,NULL,KWH,TOTAL ELECTRICAL PRODUCTION AND PURCHASED,MASTER,EL_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-4,NULL,TOTAL PRODUCTIO
8944,2,GWTOTPROD,1/31/2023 0:00,600317,NULL,0,NULL,GL,TOTAL GRAY WATER BROUGHT ON TO CAMPUS FROM THE CITY OF NORMAN,MASTER,GW_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,3/31/2013 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-1,NULL,TOTAL PRODUCTIO
9017,2,GWTOTPROD,4/30/2023 0:00,600317,NULL,0,NULL,GL,TOTAL GRAY WATER BROUGHT ON TO CAMPUS FROM THE CITY OF NORMAN,MASTER,GW_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,3/31/2013 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-4,NULL,TOTAL PRODUCTIO
8944,7,NGTOTPROD,1/31/2023 0:00,600317,NULL,0,NULL,CF,TOTAL NATURAL GAS PRODUCTION,MASTER,NG_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-1,NULL,TOTAL PRODUCTIO
9017,7,NGTOTPROD,4/30/2023 0:00,600317,NULL,0,NULL,CF,TOTAL NATURAL GAS PRODUCTION,MASTER,NG_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-4,NULL,TOTAL PRODUCTIO
8944,3,NPTOTPROD,1/31/2023 0:00,600317,NULL,0,NULL,GL,TOTAL WELL WATER PRODUCED,MASTER,WW_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-1,NULL,TOTAL PRODUCTIO
9017,3,NPTOTPROD,4/30/2023 0:00,600317,NULL,0,NULL,GL,TOTAL WELL WATER PRODUCED,MASTER,WW_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-4,NULL,TOTAL PRODUCTIO
8944,5,STTOTPROD,1/31/2023 0:00,600317,NULL,0,NULL,LB,TOTAL STEAM PRODUCTION,MASTER,ST_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-1,NULL,TOTAL PRODUCTIO
9017,5,STTOTPROD,4/30/2023 0:00,600317,NULL,0,NULL,LB,TOTAL STEAM PRODUCTION,MASTER,ST_INFO_ONLY,NULL,NORMAN,MCA,UTILITY-MCA,100,12/31/2006 0:00,"POWER,WATER,GAS SYSTEMS",NON_E_AND_G,AUXILLIARY,1,2023-4,NULL,TOTAL PRODUCTIO
9781,4,CW200A,7/31/2024 0:00,600317,145362,128362,9/6/2024 10:56,THR,ANDREW M. COATS HALL,NORMAL,CHILLED_WATER,NULL,NORMAN,SC,200,100,6/30/2024 0:00,ANDREW M. COATS HALL,NON_E_AND_G,ACADEMIC,1,2024-7,LL35229,SC
